epoch,cpu_mhz_avg,gpu_edge_c,acpi_c,gpu_mhz,gpu_power_w,bat_status,bat_pct,mem_avail_mb
1790380009,2011,71.0,72.0,1600,13.11,Not charging,76,8134
1790380014,2424,71.0,71.0,1600,15.13,Not charging,76,8156
1790380019,2370,71.0,71.0,1600,15.01,Not charging,76,8148
1790380024,2421,70.0,71.0,1600,14.23,Not charging,76,8139
1790380029,2323,70.0,71.0,1600,15.21,Not charging,76,8158
1790380034,2271,69.0,70.0,1600,15.07,Not charging,76,8167
1790380039,2424,72.0,71.0,1600,15.12,Not charging,76,8157
1790380044,2035,71.0,71.0,1600,15.04,Not charging,76,8167
1790380049,2201,67.0,71.0,1499,14.01,Not charging,76,8127
1790380054,2305,72.0,71.0,1600,15.01,Not charging,76,8134
1790380059,2424,71.0,71.0,1600,15.18,Not charging,76,8156
1790380064,2345,71.0,71.0,1600,8.10,Not charging,76,8180
1790380069,2424,71.0,71.0,1600,15.09,Not charging,76,8172
1790380074,2326,72.0,71.0,1600,14.18,Not charging,76,8150
1790380079,2308,71.0,72.0,1600,14.23,Not charging,76,8140
1790380084,2424,72.0,72.0,1600,15.01,Not charging,76,8124
1790380089,2424,72.0,72.0,1600,16.22,Not charging,76,8132
1790380094,2424,71.0,72.0,1600,16.00,Not charging,76,8147
1790380100,2329,71.0,72.0,1600,15.22,Not charging,76,8155
1790380105,2269,72.0,72.0,1600,14.25,Not charging,76,8147
1790380110,1604,73.0,72.0,1600,14.20,Not charging,76,8133
1790380115,1933,72.0,72.0,1600,14.25,Not charging,76,8129
1790380120,2424,72.0,72.0,1600,16.17,Not charging,76,8145
1790380125,2250,72.0,72.0,1600,15.07,Not charging,76,8160
1790380130,2169,71.0,72.0,1600,15.25,Not charging,76,8158
1790380135,2424,72.0,72.0,1600,15.12,Not charging,76,8165
1790380140,2083,72.0,72.0,1600,14.25,Not charging,76,8132
1790380145,2025,72.0,72.0,1600,14.06,Not charging,76,8147
1790380150,2424,71.0,72.0,1432,14.12,Not charging,76,8127
1790380155,2023,71.0,72.0,1600,14.23,Not charging,76,8164
1790380160,1998,73.0,72.0,1600,14.07,Not charging,76,8161
1790380165,1931,72.0,72.0,1600,15.25,Not charging,76,8174
1790380170,2424,72.0,73.0,1600,15.03,Not charging,76,8176
1790380175,1399,73.0,73.0,1600,15.18,Not charging,76,8146
1790380180,2425,71.0,72.0,1565,15.08,Not charging,76,8133
1790380185,2424,72.0,73.0,1600,16.05,Not charging,76,8146
1790380190,2375,72.0,73.0,1600,14.04,Not charging,76,8168
1790380195,1985,72.0,72.0,1600,15.13,Not charging,76,8180
1790380200,2349,72.0,72.0,1600,15.10,Not charging,76,8182
1790380205,1819,72.0,73.0,1600,14.06,Not charging,76,8172
1790380211,1715,72.0,73.0,1600,15.05,Not charging,76,8162
1790380216,2424,71.0,72.0,1503,14.20,Not charging,76,8149
1790380221,1399,72.0,72.0,1600,14.21,Not charging,76,8150
1790380226,2424,71.0,72.0,1600,15.05,Not charging,76,8159
1790380231,2066,72.0,72.0,1600,15.09,Not charging,76,8159
1790380236,1958,72.0,72.0,1600,14.18,Not charging,76,8157
1790380241,2089,73.0,72.0,1600,15.16,Not charging,76,8165
1790380246,1758,72.0,72.0,1568,15.01,Not charging,76,8157
1790380251,2424,72.0,72.0,1600,15.23,Not charging,76,8179
1790380256,2424,72.0,72.0,1600,15.22,Not charging,76,8163
1790380261,2424,72.0,72.0,1600,15.18,Not charging,76,8159
1790380266,2424,72.0,72.0,1600,16.05,Not charging,76,8175
1790380271,2343,72.0,72.0,1600,16.07,Not charging,76,8156
1790380276,2059,71.0,72.0,1600,14.00,Not charging,76,8193
1790380281,2424,71.0,71.0,1600,13.21,Not charging,76,8192
1790380286,2424,70.0,71.0,1600,13.25,Not charging,76,8181
1790380291,2159,71.0,71.0,1600,15.22,Not charging,76,8171
1790380296,2423,71.0,71.0,1600,13.11,Not charging,76,8151
1790380301,2424,70.0,71.0,1600,15.23,Not charging,76,8174
1790380306,2423,69.0,71.0,1540,13.24,Not charging,76,8175
1790380311,2064,72.0,71.0,1600,16.03,Not charging,76,8169
1790380316,2424,72.0,71.0,1600,15.06,Not charging,76,8170
1790380321,2424,72.0,72.0,1600,14.24,Not charging,76,8176
1790380326,2334,72.0,72.0,1600,13.14,Not charging,76,8168
1790380331,2425,72.0,71.0,1600,14.19,Not charging,76,8140
1790380337,2424,71.0,71.0,1600,15.15,Not charging,76,8141
1790380342,2424,69.0,71.0,1559,15.14,Not charging,76,8131
1790380347,2424,69.0,70.0,1600,16.15,Not charging,76,8151
1790380352,2188,70.0,71.0,1600,13.25,Not charging,76,8143
1790380357,2423,72.0,71.0,1600,16.14,Not charging,76,8128
1790380362,2424,71.0,71.0,1600,16.06,Not charging,76,8120
1790380367,2424,71.0,71.0,1600,15.16,Not charging,76,8152
1790380372,2425,70.0,71.0,1517,15.08,Not charging,76,8139
1790380377,2355,71.0,71.0,1600,16.09,Not charging,76,8158
1790380382,2424,71.0,71.0,1600,16.15,Not charging,76,8163
1790380387,2424,71.0,71.0,1600,16.11,Not charging,76,8156
1790380392,2424,72.0,72.0,1600,15.16,Not charging,76,8172
1790380397,2366,72.0,72.0,1600,15.12,Not charging,76,8159
1790380402,2424,71.0,72.0,1600,17.01,Not charging,76,8124
1790380407,2314,72.0,72.0,1600,15.00,Not charging,76,8155
1790380412,2424,71.0,72.0,1600,13.22,Not charging,76,8164
1790380417,1970,73.0,72.0,1600,15.02,Not charging,76,8156
1790380422,2293,72.0,73.0,1600,14.20,Not charging,76,8164
1790380427,2254,73.0,73.0,1600,15.03,Not charging,76,8162
1790380432,2424,71.0,72.0,1600,14.11,Not charging,76,8154
1790380437,2122,72.0,72.0,1600,15.18,Not charging,76,8152
1790380442,2421,70.0,72.0,1529,15.18,Not charging,76,8158
1790380447,1858,72.0,72.0,1600,14.11,Not charging,76,8066
1790380452,2233,70.0,72.0,1600,16.00,Not charging,76,8071
1790380457,2424,72.0,72.0,1600,15.01,Not charging,76,8085
1790380463,2424,72.0,72.0,1600,14.25,Not charging,76,8043
1790380468,1503,72.0,72.0,200,10.14,Not charging,76,8063
1790380473,1737,73.0,72.0,1600,14.19,Not charging,76,8080
1790380478,2074,72.0,72.0,1600,14.18,Not charging,76,8032
1790380483,2424,72.0,72.0,1600,15.21,Not charging,76,8063
1790380488,2425,69.0,72.0,1378,14.14,Not charging,76,8077
1790380493,1705,73.0,72.0,1600,15.06,Not charging,76,8056
1790380498,2424,71.0,72.0,1366,14.09,Not charging,76,8022
1790380503,1932,73.0,72.0,1600,13.06,Not charging,76,8058
1790380508,2173,72.0,73.0,1600,14.24,Not charging,76,8082
1790380513,1399,72.0,72.0,200,12.19,Not charging,76,8057
1790380518,1915,72.0,72.0,1600,15.11,Not charging,76,8078
1790380523,2316,73.0,72.0,1600,15.07,Not charging,76,8078
1790380528,1399,72.0,72.0,1598,15.14,Not charging,76,8046
1790380533,2214,72.0,72.0,1600,16.07,Not charging,76,8072
1790380538,2424,73.0,72.0,1600,14.15,Not charging,76,8072
1790380543,2334,71.0,72.0,1600,15.08,Not charging,76,8072
1790380548,2063,72.0,72.0,1600,15.11,Not charging,76,8058
1790380553,2424,71.0,72.0,1600,15.15,Not charging,76,8090
1790380558,1399,72.0,72.0,1600,14.21,Not charging,76,8097
1790380563,1937,73.0,72.0,1600,15.21,Not charging,76,8096
1790380568,2108,72.0,72.0,1600,16.04,Not charging,76,8093
1790380573,2424,72.0,72.0,1600,14.21,Not charging,76,8091
1790380579,2188,72.0,72.0,1600,14.06,Not charging,76,8091
1790380584,2424,71.0,72.0,1600,14.13,Not charging,76,8094
1790380589,2352,71.0,71.0,1600,16.01,Not charging,76,8070
